GeneID	Symbol	Description	log2(fold change)	-log10(Pvalue)
100287102	DDX11L1	DEAD/H-box helicase 11 like 1 (pseudogene)	-2.796	2.434
102725121	DDX11L17	DEAD/H-box helicase 11 like 17 (pseudogene)	-2.832	2.372
113219467	MIR12136	microRNA 12136	-1.869	3.382
8764	TNFRSF14	TNF receptor superfamily member 14	-0.892	2.358
83715	ESPN	espin	-1.676	1.418
8718	TNFRSF25	TNF receptor superfamily member 25	-1.503	1.557
26270	FBXO6	F-box protein 6	1.703	2.241
65018	PINK1	PTEN induced kinase 1	-1.547	1.603
6135	RPL11	ribosomal protein L11	-1.469	2.236
1269	CNR2	cannabinoid receptor 2	-1.447	1.695
1043	CD52	CD52 molecule	-2.444	2.958
55113	XKR8	XK related 8	-1.216	2.176
2035	EPB41	erythrocyte membrane protein band 4.1	-2.251	3.348
65108	MARCKSL1	MARCKS like 1	-1.303	2.249
83931	STK40	serine/threonine kinase 40	-0.852	1.458
4520	MTF1	metal regulatory transcription factor 1	1.287	2.19
4904	YBX1	Y-box binding protein 1	-1.751	2.37
6513	SLC2A1	solute carrier family 2 member 1	-0.964	1.373
107984947	MED8-AS1	MED8 antisense RNA 1	0.736	1.535
10158	PDZK1IP1	PDZK1 interacting protein 1	-3.761	2.889
4774	NFIA	nuclear factor I A	-2.172	2.517
84251	SGIP1	SH3GL interacting endocytic adaptor 1	-6.601	1.451
91624	NEXN	nexilin F-actin binding protein	1.679	2.464
6125	RPL5	ribosomal protein L5	-2.031	2.37
148534	TLCD4	TLC domain containing 4	-2.576	3.276
271	AMPD2	adenosine monophosphate deaminase 2	-1.696	3.204
140	ADORA3	adenosine A3 receptor	-2.202	1.613
105378916	LINC01765	long intergenic non-protein coding RNA 1765	-6.824	2.375
338391	H2BP2	H2B histone pseudogene 2	2.127	1.321
100132417	FCGR1CP	Fc gamma receptor Ic, pseudogene	2.401	1.755
8799	PEX11B	peroxisomal biogenesis factor 11 beta	-1.065	1.806
10628	TXNIP	thioredoxin interacting protein	-0.814	3.241
440689	H2BC18	H2B clustered histone 18	2.034	1.477
8370	H4C14	H4 clustered histone 14	2.066	2.89
8337	H2AC18	H2A clustered histone 18	1.984	3.383
723790	H2AC19	H2A clustered histone 19	1.981	3.133
112268238	LOC112268238	replaced by ID 554313	1.573	4.471
554313	H4C15	H4 clustered histone 15	2.237	3.241
8349	H2BC21	H2B clustered histone 21	1.634	1.999
54460	MRPS21	mitochondrial ribosomal protein S21	-0.978	1.698
8991	SELENBP1	selenium binding protein 1	-4.102	3.906
6232	RPS27	ribosomal protein S27	-1.829	1.674
57326	PBXIP1	PBX homeobox interacting protein 1	-0.946	1.56
2629	GBA1	glucosylceramidase beta 1	0.981	1.4
911	CD1C	CD1c molecule	-2.649	3.241
105371461	LOC105371461	replaced by ID 9447	2.267	1.983
2532	ACKR1	atypical chemokine receptor 1 (Duffy blood group)	-3.652	2.945
2205	FCER1A	Fc epsilon receptor Ia	-4.266	3.754
8407	TAGLN2	transgelin 2	-1.553	3.371
107985219	LOC107985219	uncharacterized LOC107985219	0.784	1.613
1314	COPA	COPI coat complex subunit alpha	0.785	1.794
92241	RCSD1	RCSD domain containing 1	-0.636	1.687
2153	F5	coagulation factor V	1.538	1.959
9910	RABGAP1L	RAB GTPase activating protein 1 like	-1.593	2.228
105371622	LOC105371622	uncharacterized LOC105371622	-1.901	2.328
149345	SHISA4	shisa family member 4	-4.648	3.335
51094	ADIPOR1	adiponectin receptor 1	-2.827	3.299
55432	YOD1	YOD1 deubiquitinase	-2.714	2.603
100128537	MIR29B2CHG	MIR29B2 and MIR29C host gene	-2.241	1.687
50486	G0S2	G0/G1 switch 2	2.961	3.29
7100	TLR5	toll like receptor 5	1.351	1.39
3020	H3-3A	H3.3 histone A	-1.015	1.902
2987	GUK1	guanylate kinase 1	-2.344	2.158
149603	RNF187	ring finger protein 187	-1.486	1.636
2590	GALNT2	polypeptide N-acetylgalactosaminyltransferase 2	1.248	1.513
105373165	LOC105373165	uncharacterized LOC105373165	-6.648	1.47
6894	TARBP1	TAR (HIV-1) RNA binding protein 1	-1.499	1.507
25893	TRIM58	tripartite motif containing 58	-2.553	3.028
343171	OR2W3	olfactory receptor family 2 subfamily W member 3	-6.238	7.92
343172	OR2T8	olfactory receptor family 2 subfamily T member 8	-6.976	1.729
6201	RPS7	ribosomal protein S7	-2.877	3.241
245973	ATP6V1C2	ATPase H+ transporting V1 subunit C2	1.493	3.479
10130	PDIA6	protein disulfide isomerase family A member 6	1.635	4.276
100874055	LINC00570	long intergenic non-protein coding RNA 570	-6.139	1.458
388	RHOB	ras homolog family member B	-1.405	1.655
2281	FKBP1B	FKBP prolyl isomerase 1B	-2.928	3.043
79172	CENPO	centromere protein O	1.331	1.918
109	ADCY3	adenylate cyclase 3	1.833	2.714
1545	CYP1B1	cytochrome P450 family 1 subfamily B member 1	2.222	4.13
805	CALM2	calmodulin 2	-1.99	1.738
6233	RPS27A	ribosomal protein S27a	-2.353	2.608
112942	CFAP36	cilia and flagella associated protein 36	-1.509	3.241
4211	MEIS1	Meis homeobox 1	1.892	1.458
100873998	MEIS1-AS2	MEIS1 antisense RNA 2	2.929	2.318
107985900	LOC107985900	uncharacterized LOC107985900	-4.619	1.409
64795	RMND5A	required for meiotic nuclear division 5 homolog A	-1.082	1.544
22934	RPIA	ribose 5-phosphate isomerase A	-2.239	2.067
28946	IGKJ5	immunoglobulin kappa joining 5	3.55	5.363
28907	IGKV5-2	immunoglobulin kappa variable 5-2	6.185	2.61
28943	IGKV1-6	immunoglobulin kappa variable 1-6	4.114	2.223
28914	IGKV3-11	immunoglobulin kappa variable 3-11	4.439	3.445
28940	IGKV1-12	immunoglobulin kappa variable 1-12	3.981	3.029
28939	IGKV1-13	immunoglobulin kappa variable 1-13	7.456	3.383
28913	IGKV3-15	immunoglobulin kappa variable 3-15	3.034	3.895
28935	IGKV1-27	immunoglobulin kappa variable 1-27	5.343	4.143
28920	IGKV2-29	immunoglobulin kappa variable 2-29	4.192	2.035
28919	IGKV2-30	immunoglobulin kappa variable 2-30	3.364	2.889
28933	IGKV1-33	immunoglobulin kappa variable 1-33	3.88	3.038
28896	IGKV1D-33	immunoglobulin kappa variable 1D-33	3.968	3.803
28881	IGKV2D-30	immunoglobulin kappa variable 2D-30	3.168	1.597
28875	IGKV3D-15	immunoglobulin kappa variable 3D-15	4.401	8.736
28902	IGKV1D-13	immunoglobulin kappa variable 1D-13	8.093	2.272
28903	IGKV1D-12	immunoglobulin kappa variable 1D-12	3.315	1.326
26505	CNNM3	cyclin and CBS domain divalent metal cation transport mediator 3	-0.874	1.33
6160	RPL31	ribosomal protein L31	-2.229	2.276
2995	GYPC	glycophorin C (Gerbich blood group)	-3.991	5.765
100526664	LY75-CD302	LY75-CD302 readthrough	-1.137	1.54
9936	CD302	CD302 molecule	-1.221	1.948
57282	SLC4A10	solute carrier family 4 member 10	-6.856	2.293
64135	IFIH1	interferon induced with helicase C domain 1	1.988	1.415
79901	CYBRD1	cytochrome b reductase 1	-2.2	3.803
440926	H3P6	H3 histone pseudogene 6	-1.095	1.507
26010	SPATS2L	spermatogenesis associated serine rich 2 like	2.778	1.729
101927741	LOC101927741	uncharacterized LOC101927741	2.621	1.343
66008	TRAK2	trafficking kinesin protein 2	-1.839	2.146
55437	STRADB	STE20 related adaptor beta	-3.89	4.022
1933	EEF1B2	eukaryotic translation elongation factor 1 beta 2	-1.372	1.723
7145	TNS1	tensin 1	-4.189	4.13
29926	GMPPA	GDP-mannose pyrophosphorylase A	1.314	2.204
55022	PID1	phosphotyrosine interaction domain containing 1	-2.812	2.673
57007	ACKR3	atypical chemokine receptor 3	-2.447	1.622
140739	UBE2F	ubiquitin conjugating enzyme E2 F (putative)	0.575	1.436
151174	LINC02610	long intergenic non-protein coding RNA 2610	-6.973	1.434
728763	CROCC2	ciliary rootlet coiled-coil, rootletin family member 2	-6.527	1.513
200772	UICLM	up-regulated in colorectal cancer liver metastasis	-7.969	3.14
3568	IL5RA	interleukin 5 receptor subunit alpha	-3.261	2.057
6161	RPL32	ribosomal protein L32	-2.05	3.375
101927854	THRB-AS2	THRB antisense RNA 2	-3.108	2.204
729083	CCDC13-AS2	CCDC13 antisense RNA 2	-2.458	2.517
10663	CXCR6	C-X-C motif chemokine receptor 6	-2.135	2.766
1232	CCR3	C-C motif chemokine receptor 3	-1.885	1.392
22937	SCAP	SREBF chaperone	-0.952	1.918
29925	GMPPB	GDP-mannose pyrophosphorylase B	1.424	1.944
23166	STAB1	stabilin 1	1.662	2.642
10550	ARL6IP5	ADP ribosylation factor like GTPase 6 interacting protein 5	-1.093	1.733
23150	FRMD4B	FERM domain containing 4B	1.945	2.44
6152	RPL24	ribosomal protein L24	-2.183	2.029
56987	BBX	BBX high mobility group box domain containing	0.555	1.35
80325	ABTB1	ankyrin repeat and BTB domain containing 1	-1.552	1.883
29927	SEC61A1	SEC61 translocon subunit alpha 1	1.103	2.302
22820	COPG1	COPI coat complex subunit gamma 1	0.922	1.311
152195	NUDT16L2P	nudix hydrolase 16 like 2, pseudogene	-1.533	1.369
23317	DNAJC13	DnaJ heat shock protein family (Hsp40) member C13	1.112	2.427
25847	ANAPC13	anaphase promoting complex subunit 13	-1	1.314
5359	PLSCR1	phospholipid scramblase 1	1.907	1.374
2992	GYG1	glycogenin 1	1.163	1.56
200916	RPL22L1	ribosomal protein L22 like 1	-4.443	1.536
64778	FNDC3B	fibronectin type III domain containing 3B	1.196	1.33
10644	IGF2BP2	insulin like growth factor 2 mRNA binding protein 2	-2.053	1.525
51726	DNAJB11	DnaJ heat shock protein family (Hsp40) member B11	1.643	1.434
3556	IL1RAP	interleukin 1 receptor accessory protein	-1.882	1.667
57110	PLAAT1	phospholipase A and acyltransferase 1	-6.696	2.29
102724808	LOC102724808	uncharacterized LOC102724808	-2.843	2.89
131540	ZDHHC19	zinc finger DHHC-type palmitoyltransferase 19	3.881	4.963
9711	RUBCN	rubicon autophagy regulator	1.005	2.511
6165	RPL35A	ribosomal protein L35a	-2.087	2.845
57545	CC2D2A	coiled-coil and C2 domain containing 2A	1.689	1.579
952	CD38	CD38 molecule	2.424	2.239
51056	LAP3	leucine aminopeptidase 3	1.751	2.244
768211	RELL1	RELT like 1	-1.73	1.885
6133	RPL9	ribosomal protein L9	-2.097	1.791
3815	KIT	KIT proto-oncogene, receptor tyrosine kinase	-3.788	1.344
84525	HOPX	HOP homeobox	-2.027	3.383
105377267	LOC105377267	uncharacterized LOC105377267	-8.478	4.13
10720	UGT2B11	UDP glucuronosyltransferase family 2 member B11	-6.192	2.001
950	SCARB2	scavenger receptor class B member 2	1.338	1.735
10983	CCNI	cyclin I	-1.24	1.387
6696	SPP1	secreted phosphoprotein 1	-7.191	2.352
55008	HERC6	HECT and RLD domain containing E3 ubiquitin protein ligase family member 6	1.988	2.097
102723458	LOC102723458	uncharacterized LOC102723458	1.644	1.862
6622	SNCA	synuclein alpha	-3.91	3.895
10098	TSPAN5	tetraspanin 5	-3.387	5.018
128	ADH5	alcohol dehydrogenase 5 (class III), chi polypeptide	-0.873	1.367
150159	SLC9B1	solute carrier family 9 member B1	-1.606	2.204
6164	RPL34	ribosomal protein L34	-2.086	1.654
6189	RPS3A	ribosomal protein S3A	-3.736	5.475
6423	SFRP2	secreted frizzled related protein 2	-8.558	3.447
134147	CMBL	carboxymethylenebutenolidase homolog	-3.593	1.555
56172	ANKH	ANKH inorganic pyrophosphate transport regulator	-1.302	2
3003	GZMK	granzyme K	-2.689	2.53
202309	GAPT	GRB2 binding adaptor protein, transmembrane	-1.237	1.477
202243	CCDC125	coiled-coil domain containing 125	-1.458	1.358
6880	TAF9	TATA-box binding protein associated factor 9	-1.872	3.181
4671	NAIP	NLR family apoptosis inhibitory protein	1.05	1.471
112267942	LOC112267942	uncharacterized LOC112267942	1.388	1.471
689	BTF3	basic transcription factor 3	-1.966	4.143
6228	RPS23	ribosomal protein S23	-1.382	1.691
1462	VCAN	versican	1.322	2.204
1350	COX7C	cytochrome c oxidase subunit 7C	-2.657	2.252
22936	ELL2	elongation factor for RNA polymerase II 2	2.209	2.428
51397	COMMD10	COMM domain containing 10	-1.442	1.411
23305	ACSL6	acyl-CoA synthetase long chain family member 6	-1.709	1.593
819	CAMLG	calcium modulating ligand	-0.853	1.344
51247	PAIP2	poly(A) binding protein interacting protein 2	-0.711	1.526
51237	MZB1	marginal zone B and B1 cell specific protein	3.633	2.293
929	CD14	CD14 molecule	1.056	1.951
6208	RPS14	ribosomal protein S14	-2.056	3.276
3779	KCNMB1	potassium calcium-activated channel subfamily M regulatory beta subunit 1	-2.405	1.912
22838	RNF44	ring finger protein 44	-0.939	2.204
90249	UNC5A	unc-5 netrin receptor A	1.305	2.806
3101	HK3	hexokinase 3	1.253	2.642
3662	IRF4	interferon regulatory factor 4	1.679	1.592
7280	TUBB2A	tubulin beta 2A class IIa	-4.289	1.386
347733	TUBB2B	tubulin beta 2B class IIb	-4.275	1.376
81853	TMEM14B	transmembrane protein 14B	-1.203	2.146
108783645	HFE-AS1	HFE antisense RNA 1	3.673	2.629
3017	H2BC5	H2B clustered histone 5	2.456	3.811
8351	H3C4	H3 clustered histone 4	3.098	5.827
3013	H2AC7	H2A clustered histone 7	3.127	6.366
8339	H2BC8	H2B clustered histone 8	2.567	2.163
105374986	LOC105374986	uncharacterized LOC105374986	1.959	1.829
346157	ZNF391	zinc finger protein 391	-6.678	1.523
8348	H2BC17	H2B clustered histone 17	3.604	4.137
26212	OR2B6	olfactory receptor family 2 subfamily B member 6	3.662	3.579
101929072	MICA-AS1	MICA antisense RNA 1	-4.035	4.069
7940	LST1	leukocyte specific transcript 1	-1.169	1.347
63940	GPSM3	G protein signaling modulator 3	-0.797	2.37
3122	HLA-DRA	major histocompatibility complex, class II, DR alpha	-2.431	6.88
3118	HLA-DQA2	major histocompatibility complex, class II, DQ alpha 2	-7.115	4.515
3120	HLA-DQB2	major histocompatibility complex, class II, DQ beta 2	-9.495	3.096
3109	HLA-DMB	major histocompatibility complex, class II, DM beta	-1.662	4.735
3113	HLA-DPA1	major histocompatibility complex, class II, DP alpha 1	-1.413	2.367
3115	HLA-DPB1	major histocompatibility complex, class II, DP beta 1	-1.416	2.029
6222	RPS18	ribosomal protein S18	-1.849	1.799
11165	NUDT3	nudix hydrolase 3	-0.903	2.547
116369	SLC26A8	solute carrier family 26 member 8	2.341	1.415
105375034	LOC105375034	uncharacterized LOC105375034	2.813	1.951
57699	CPNE5	copine 5	1.123	1.584
55633	TBC1D22B	TBC1 domain family member 22B	-2.192	1.526
54676	GTPBP2	GTP binding protein 2	1.164	1.687
55362	TMEM63B	transmembrane protein 63B	-3.591	3.244
9697	TRAM2	translocation associated membrane protein 2	1.443	1.376
26268	FBXO9	F-box protein 9	-1.829	1.392
375513	GUSBP4	GUSB pseudogene 4	-2.448	1.321
1915	EEF1A1	eukaryotic translation elongation factor 1 alpha 1	-1.298	2.722
9324	HMGN3	high mobility group nucleosomal binding domain 3	-1.356	1.733
10957	PNRC1	proline rich nuclear receptor coactivator 1	-1.113	1.304
2309	FOXO3	forkhead box O3	-2.84	3.845
135112	NCOA7	nuclear receptor coactivator 7	1.144	2.293
383	ARG1	arginase 1	-2.837	1.916
6206	RPS12	ribosomal protein S12	-2.714	5.125
107986646	LOC107986646		-3.608	1.738
9053	MAP7	microtubule associated protein 7	-2.922	2.334
6991	DYNLT2	dynein light chain Tctex-type 2	-3.884	1.739
115330	GPR146	G protein-coupled receptor 146	-5.752	9.526
2768	GNA12	G protein subunit alpha 12	-1.667	1.562
11014	KDELR2	KDEL endoplasmic reticulum protein retention receptor 2	0.737	2.192
4697	NDUFA4	NDUFA4 mitochondrial complex associated	-1.773	1.411
10124	ARL4A	ADP ribosylation factor like GTPase 4A	-1.531	2
392636	AGMO	alkylglycerol monooxygenase	-5.7	1.376
2617	GARS1	glycyl-tRNA synthetase 1	1.006	1.738
23658	LSM5	LSM5 homolog, U6 small nuclear RNA and mRNA degradation associated	-1.809	1.31
7378	UPP1	uridine phosphorylase 1	0.949	1.465
340252	ZNF680	zinc finger protein 680	-2.248	1.521
105375328	LOC105375328		-5.042	2.346
219285	SAMD9L	sterile alpha motif domain containing 9 like	2.123	2.357
43	ACHE	acetylcholinesterase (Cartwright blood group)	-7.527	2.084
51024	FIS1	fission, mitochondrial 1	-1.535	2.029
54674	LRRN3	leucine rich repeat neuronal 3	-2.293	1.554
381	ARF5	ADP ribosylation factor 5	-0.677	1.824
813	CALU	calumenin	1.034	2.35
800	CALD1	caldesmon 1	-2.03	1.321
647087	STMP1	short transmembrane mitochondrial protein 1	-1.038	1.31
23608	MKRN1	makorin ring finger protein 1	-2.208	2.371
23601	CLEC5A	C-type lectin domain containing 5A	3.153	2.54
28606	TRBV6-1	T cell receptor beta variable 6-1	-2.282	1.361
9601	PDIA4	protein disulfide isomerase family A member 4	1.885	2.936
105375588	LOC105375588	uncharacterized LOC105375588	-7.391	2.171
1669	DEFA4	defensin alpha 4	-4.663	1.372
2039	DMTN	dematin actin binding protein	-3.53	4.9
51312	SLC25A37	solute carrier family 25 member 37	-1.996	1.347
665	BNIP3L	BCL2 interacting protein 3 like	-3.479	6.237
51669	SARAF	store-operated calcium entry associated regulatory factor	-0.855	2.231
23484	LEPROTL1	leptin receptor overlapping transcript like 1	-0.815	2.073
80139	ZNF703	zinc finger protein 703	-2.814	1.674
3620	IDO1	indoleamine 2,3-dioxygenase 1	-3.339	1.582
286	ANK1	ankyrin 1	-2.69	2.146
105379392	LOC105379392	uncharacterized LOC105379392	-4.059	3.005
102724330	PCMTD1-DT	PCMTD1 divergent transcript	-4.287	1.315
6224	RPS20	ribosomal protein S20	-2.321	2.547
641638	SNHG6	small nucleolar RNA host gene 6	-1.655	1.572
6129	RPL7	ribosomal protein L7	-3.04	3.043
6383	SDC2	syndecan 2	-5.069	2.956
6156	RPL30	ribosomal protein L30	-1.933	2.358
1345	COX6C	cytochrome c oxidase subunit 6C	-2.197	1.521
90390	MED30	mediator complex subunit 30	-1.181	1.753
4856	CCN3	cellular communication network factor 3	-2.69	2.756
28998	MRPL13	mitochondrial ribosomal protein L13	-2.576	2.028
137797	LYPD2	LY6/PLAUR domain containing 2	-6.418	1.48
66004	LYNX1	Ly6/neurotoxin 1	-6.694	1.579
1936	EEF1D	eukaryotic translation elongation factor 1 delta	-0.997	2.936
54512	EXOSC4	exosome component 4	1.289	1.756
100287596	DDX11L5	DEAD/H-box helicase 11 like 5 (pseudogene)	-2.385	1.454
6194	RPS6	ribosomal protein S6	-2.058	2.793
573	BAG1	BAG cochaperone 1	-3.181	3.736
25853	DCAF12	DDB1 and CUL4 associated factor 12	-3.94	4.279
3590	IL11RA	interleukin 11 receptor subunit alpha	-1.675	1.372
7415	VCP	valosin containing protein	0.749	1.412
10488	CREB3	cAMP responsive element binding protein 3	0.916	1.863
79937	CNTNAP3	contactin associated protein family member 3	-2.956	1.487
216	ALDH1A1	aldehyde dehydrogenase 1 family member A1	-1.638	1.435
7111	TMOD1	tropomodulin 1	-2.352	1.391
55363	HEMGN	hemogen	-3.268	3.241
9830	TRIM14	tripartite motif containing 14	0.975	1.395
158405	KIAA1958	KIAA1958	2.469	1.867
55755	CDK5RAP2	CDK5 regulatory subunit associated protein 2	1.202	1.738
2681	GGTA1	glycoprotein alpha-galactosyltransferase 1 (inactive)	-2.026	1.544
81571	MIR600HG	MIR600 host gene	-3.469	2.272
3309	HSPA5	heat shock protein family A (Hsp70) member 5	1.599	9.141
6136	RPL12	ribosomal protein L12	-1.67	1.979
203	AK1	adenylate kinase 1	-2.658	2.358
10444	ZER1	zyg-11 related cell cycle regulator	-1.557	1.465
56904	SH3GLB2	SH3 domain containing GRB2 like, endophilin B2	-1.539	1.411
51759	C9orf78	chromosome 9 open reading frame 78	-2.436	1.507
106635683	SNORD141A	small nucleolar RNA, C/D box 141A	-1.27	1.991
26301	GBGT1	globoside alpha-1,3-N-acetylgalactosaminyltransferase 1 (FORS blood group)	-1.923	2.677
51162	EGFL7	EGF like domain multiple 7	2.514	3.282
101930307	LOC101930307		-7.324	1.507
3601	IL15RA	interleukin 15 receptor subunit alpha	1.199	1.636
57118	CAMK1D	calcium/calmodulin dependent protein kinase ID	-2.01	7.491
10133	OPTN	optineurin	-1.782	1.863
219771	CCNY	cyclin Y	-1.157	2.305
7580	ZNF32	zinc finger protein 32	-1.544	1.616
11067	DEPP1	DEPP autophagy regulator 1	5.384	1.487
220972	MARCHF8	membrane associated ring-CH-type finger 8	-3.031	4.481
105378286	LOC105378286	uncharacterized LOC105378286	-2.216	1.754
653234	AGAP10P	ArfGAP with GTPase domain, ankyrin repeat and PH domain 10, pseudogene	-2.589	1.759
8031	NCOA4	nuclear receptor coactivator 4	-1.955	2.422
653268	AGAP7P	ArfGAP with GTPase domain, ankyrin repeat and PH domain 7, pseudogene	-2.939	3.669
107984026	LOC107984026	replaced by ID 728005	-2.109	1.447
1979	EIF4EBP2	eukaryotic translation initiation factor 4E binding protein 2	-0.698	2.629
6229	RPS24	ribosomal protein S24	-2.106	2.046
84333	PCGF5	polycomb group ring finger 5	-2.142	2.121
27343	POLL	DNA polymerase lambda	-2.088	3.074
4601	MXI1	MAX interactor 1, dimerization protein	-3.33	5.139
2263	FGFR2	fibroblast growth factor receptor 2	-6.978	1.629
27287	VENTX	VENT homeobox	-1.943	2.35
8519	IFITM1	interferon induced transmembrane protein 1	1.282	1.687
10410	IFITM3	interferon induced transmembrane protein 3	2.077	1.691
3665	IRF7	interferon regulatory factor 7	2.153	2.23
1509	CTSD	cathepsin D	1.515	3.872
1028	CDKN1C	cyclin dependent kinase inhibitor 1C	-3.105	1.755
3045	HBD	hemoglobin subunit delta	-3.662	1.39
9645	MICAL2	microtubule associated monooxygenase, calponin and LIM domain containing 2	-1.878	2.023
84953	MICALCL	replaced by ID 9645	-2.952	3.669
5140	PDE3B	phosphodiesterase 3B	-1.133	1.592
6207	RPS13	ribosomal protein S13	-2.375	3.872
3939	LDHA	lactate dehydrogenase A	0.988	2.14
26519	TIMM10	translocase of inner mitochondrial membrane 10	3.219	4.529
2206	MS4A2	membrane spanning 4-domains A2	-3.24	2
51338	MS4A4A	membrane spanning 4-domains A4A	2.287	2.03
58475	MS4A7	membrane spanning 4-domains A7	-2.29	5.714
931	MS4A1	membrane spanning 4-domains A1	-1.68	1.574
11251	PTGDR2	prostaglandin D2 receptor 2	-2.319	2.094
220001	VWCE	von Willebrand factor C and EGF domains	-3.982	2.795
220002	CYB561A3	cytochrome b561 family member A3	-1.425	2.222
2237	FEN1	flap structure-specific endonuclease 1	1.822	1.31
5866	RAB3IL1	RAB3A interacting protein like 1	-4.311	1.432
2495	FTH1	ferritin heavy chain 1	-1.025	1.33
6520	SLC3A2	solute carrier family 3 member 2	1.121	2.252
10435	CDC42EP2	CDC42 effector protein 2	-1.287	1.427
220359	TIGD3	tigger transposable element derived 3	-5.608	7.744
55690	PACS1	phosphofurin acidic cluster sorting protein 1	-1.013	2.521
374403	TBC1D10C	TBC1 domain family member 10C	-0.626	1.691
81570	CLPB	caseinolytic mitochondrial matrix peptidase chaperone subunit B	1.301	1.396
9789	SPCS2	signal peptidase complex subunit 2	0.871	1.321
726	CAPN5	calpain 5	-3.597	3.518
100532726	NDUFC2-KCTD14	NDUFC2-KCTD14 readthrough	1.738	2.788
65987	KCTD14	potassium channel tetramerization domain containing 14	7.97	2.954
105369402	LOC105369402	uncharacterized LOC105369402	4.331	2.588
101929295	LNCRNA-IUR	lncRNA imatinib upregulated	-2.286	1.391
143686	SESN3	sestrin 3	-2.072	1.953
440068	CARD17P	caspase recruitment domain family member 17, pseudogene	3.358	2.176
